Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.93,0.321,88.66,3,1,CNN,0,32,100,74.67104484,11
0.98,0.122,94.05,3,1,CNN,0,32,100,74.67104484,11
0.88,0.115,74.23,3,1,CNN,0,32,100,74.67104484,11
0.91,0.093,81.68,3,1,CNN,0,32,100,74.67104484,11
0.87,0.258,72.62,3,1,CNN,0,32,100,74.67104484,11
0.93,0.282,89.15,3,1,CNN,0,32,100,74.67104484,11
0.98,0.285,100,3,1,CNN,0,32,100,74.67104484,11
0.97,0.400,97.65,3,1,CNN,0,32,100,74.67104484,11
0.95,0.437,100,3,1,CNN,2,32,100,74.67104484,11
0.99,0.147,100,3,1,CNN,2,32,100,74.67104484,11
0.98,0.215,99.52,3,1,CNN,2,32,100,74.67104484,11
0.95,0.141,96.42,3,1,CNN,2,32,100,74.67104484,11
0.94,0.444,96.86,3,1,CNN,2,32,100,74.67104484,11
0.95,0.367,99.08,3,1,CNN,2,32,100,74.67104484,11
0.99,0.365,100,3,1,CNN,2,32,100,74.67104484,11
0.95,0.481,100,3,1,CNN,2,32,100,74.67104484,11
0.84,0.265,70.36,3,1,CNN,0,32,100,158.49837,17
0.94,0.101,75.08,3,1,CNN,0,32,100,158.49837,17
0.76,0.079,45.9,3,1,CNN,0,32,100,158.49837,17
0.71,0.053,34.57,3,1,CNN,0,32,100,158.49837,17
0.70,0.159,41.67,3,1,CNN,0,32,100,158.49837,17
0.87,0.252,77.19,3,1,CNN,0,32,100,158.49837,17
0.96,0.244,80.8,3,1,CNN,0,32,100,158.49837,17
0.95,0.405,94.21,3,1,CNN,0,32,100,158.49837,17
0.94,0.440,92.98,3,1,CNN,2,32,100,158.49837,17
0.96,0.133,84.24,3,1,CNN,2,32,100,158.49837,17
0.94,0.196,83.98,3,1,CNN,2,32,100,158.49837,17
0.78,0.103,56.81,3,1,CNN,2,32,100,158.49837,17
0.90,0.392,82.94,3,1,CNN,2,32,100,158.49837,17
0.94,0.366,91.13,3,1,CNN,2,32,100,158.49837,17
0.99,0.396,100,3,1,CNN,2,32,100,158.49837,17
0.97,0.516,99.43,3,1,CNN,2,32,100,158.49837,17
0.89,0.240,77.93,3,0.5,CNN,0,32,100,189.2,11
0.89,0.070,68.78,3,0.5,CNN,0,32,100,189.2,11
0.69,0.070,45.33,3,0.5,CNN,0,32,100,189.2,11
0.81,0.070,50.12,3,0.5,CNN,0,32,100,189.2,11
0.78,0.170,54.55,3,0.5,CNN,0,32,100,189.2,11
0.92,0.360,90.1,3,0.5,CNN,0,32,100,189.2,11
0.86,0.120,65.12,3,0.5,CNN,0,32,100,189.2,11
0.91,0.310,86.88,3,0.5,CNN,0,32,100,189.2,11
0.97,0.370,90.01,3,0.5,CNN,2,32,100,189.2,11
0.96,0.120,83.61,3,0.5,CNN,2,32,100,189.2,11
0.90,0.140,68.37,3,0.5,CNN,2,32,100,189.2,11
0.80,0.090,53.5,3,0.5,CNN,2,32,100,189.2,11
0.88,0.280,65.45,3,0.5,CNN,2,32,100,189.2,11
0.95,0.460,94.12,3,0.5,CNN,2,32,100,189.2,11
0.98,0.230,89.41,3,0.5,CNN,2,32,100,189.2,11
0.95,0.400,91.43,3,0.5,CNN,2,32,100,189.2,11
0.48,0.170,61.54,3,0.5,CNN,0,32,100,401.6,17
0.41,0.040,39.78,3,0.5,CNN,0,32,100,401.6,17
0.14,0.020,21.41,3,0.5,CNN,0,32,100,401.6,17
0.25,0.020,20.8,3,0.5,CNN,0,32,100,401.6,17
0.17,0.090,31.89,3,0.5,CNN,0,32,100,401.6,17
0.57,0.250,70.36,3,0.5,CNN,0,32,100,401.6,17
0.45,0.060,44.83,3,0.5,CNN,0,32,100,401.6,17
0.59,0.230,72.31,3,0.5,CNN,0,32,100,401.6,17
0.63,0.230,64.12,3,0.5,CNN,2,32,100,401.6,17
0.46,0.050,40.03,3,0.5,CNN,2,32,100,401.6,17
0.28,0.050,28.66,3,0.5,CNN,2,32,100,401.6,17
0.28,0.040,25.9,3,0.5,CNN,2,32,100,401.6,17
0.36,0.130,34.31,3,0.5,CNN,2,32,100,401.6,17
0.65,0.350,75.7,3,0.5,CNN,2,32,100,401.6,17
